gene,mean_importance,std_importance,variance_in_data,rank
RPL36,0.003016384318151806,0.000783737580587313,128679321.52745932,81
APOL1,0.002998719694228239,0.0025082993869659817,17632582.425525285,82
PDIA4,0.002983222671930029,0.002238009654105485,27455463.27237889,83
DNAJB1,0.0028691862034739882,0.00045805251803727066,29766957.489811145,84
RPL24,0.002837634274598238,0.0014377001183625761,111797791.85966483,85
RPL23A,0.0028320076729578913,0.0005837892473417165,19800288.841174107,86
PKN1,0.0028285032834612332,0.0013479407416032527,17308921.938958485,87
RPS23,0.002827981006896649,0.001336548620098292,145165390.17011082,88
EIF4A2,0.002819542472457847,0.0021883051657883407,48164873.970503986,89
KRT8,0.0028095000239828534,0.0008501665904960369,247386282.28387538,90
MMP14,0.0028079266945316814,0.00282218247800763,23374731.17532072,91
RPS4X,0.002804097032260955,0.0004969844935292733,912353954.2976329,92
PLEC,0.0027640607765406695,0.0006719441264187204,44414408.46353368,93
COL1A1,0.002755084177476414,0.0023504407096926814,11278414692.099419,94
EIF3CL,0.0027315570757171902,0.0017565812841385808,25512205.29039449,95
RPS29,0.002716813581838612,0.0013409263767809748,55278322.43446805,96
GNAS,0.0027036406467821398,0.0015355987287122852,174852379.8052547,97
KRAS,0.002700278706899628,0.0019201977677513061,14403507.551086256,98
CHI3L1,0.002681620319053612,0.0018994228130393698,38457289.892704666,99
HLA-DPA1,0.002676599898817774,0.001512485438362121,68117686.07538806,100
HDLBP,0.0026709482841254105,0.0009368120510165894,36314178.01041999,101
VIM,0.002666464053144338,0.0019181584466612866,365714353.67661226,102
CD9,0.002659212862307412,0.0022642785833958466,159221068.84659427,103
CMTM6,0.0026565287370802393,0.0006726555456224122,18967786.578629993,104
ATP5G2,0.002639684882759123,0.0013881332956753201,15828355.183590977,105
COL4A2,0.002637572028873802,0.002984142483445301,15803979.52186388,106
LYZ,0.0026250393417631274,0.0024690100156955002,20577590.898628548,107
FSTL1,0.002617446259281032,0.0008793687956543357,13955550.365627287,108
TAPBP,0.002568828727971923,0.001151301036656181,13205287.789622493,109
EEF1A1P9,0.0025609921428602325,0.002051959379076469,51282682.8305409,110
LRP1,0.002550874064143737,0.001225394268350575,18761430.811263446,111
KIAA1522,0.0025475175473525197,0.000732043496383167,23050541.344293177,112
HSPA5,0.0025416548469640505,0.0012993617870547907,52925129.90573238,113
MMP11,0.0025247033083148876,0.00099206838102824,51098333.08092807,114
USF2,0.00252388458307626,0.002540432324335543,18109589.365253445,115
ST14,0.0024977067599140546,0.000359095772521113,14067786.358422192,116
THBS1,0.002495177780477514,0.0015185548008651746,35613675.45939015,117
RPS19,0.0024905876251242382,0.0008798369254092535,316677673.0236967,118
RPL41,0.002467212200292356,0.0019075313028569607,411702060.5762999,119
SQSTM1,0.0024620291860471067,0.0018036827531588643,33319800.44364785,120
RPS15A,0.002447744723305748,0.0019309975043673554,161279221.31091458,121
H19,0.0024460297396917676,0.001964364435271375,3766073244.3984246,122
EIF4G2,0.0024408936249435,0.0019967074385729153,26869236.370161023,123
MYL6,0.002435823517973804,0.0018354289214932962,185506465.7793551,124
ECH1,0.00240565412721785,0.002064441381959296,13735427.97124915,125
RPL31,0.002405066056286261,0.00026523991042837295,224430507.56551516,126
PKM2,0.0023986362098746003,0.002071652609257965,382152222.2774838,127
COL1A2,0.002397521644625172,0.0012069988562051254,2537138698.4672794,128
NDRG1,0.00237739997707318,0.0017542592832539314,66749084.89240111,129
APOE,0.002376514911031581,0.001987423591287549,34477280.94131553,130
HSPA1A,0.002374781486320326,0.00185301928237484,76063387.11206402,131
SERPINH1,0.002362760885393956,0.0011405879470107153,40953758.44601013,132
CAPS,0.0023596443854337085,0.0008487475543950958,21504042.70392092,133
H3F3B,0.0023419135732553596,0.0011167206073461357,33245563.7512812,134
GPX1,0.0023385382590165845,0.0013032866641350298,17986224.68410814,135
UBA1,0.0023319088395714217,0.00020573493490416768,54959337.582792304,136
SLPI,0.00231290559149006,0.001589911739333659,884871853.4362438,137
KLK6,0.002307732755542903,0.0006956754050702557,26097025.14619199,138
RPL32,0.0023073427967880405,0.0007266674208181475,336899595.9253141,139
ACTA2,0.002302284427096212,0.0007501655938941773,26458141.994414162,140
C12orf35,0.0022942323101102775,0.0019256790864264788,16202887.821553878,141
NCL,0.0022828778698037087,0.0013282681163839984,29658111.223449454,142
AGRN,0.002273159475245682,0.00050964843405043,67983150.29358073,143
RPN1,0.002267993857256229,0.0014613644088104138,15021673.224159671,144
ERGIC3,0.002267737081442244,0.0015188892391960324,21194286.78750333,145
TNFSF10,0.0022635725365455633,0.0007571019520621434,19391912.516784683,146
RPS27A,0.002260961400122181,0.001578833659058436,113331925.06503357,147
FOLR1,0.0022582886868528457,0.001058619791011619,77582846.83045568,148
RPS12,0.002249164744407489,0.00148008386983358,410639378.0428057,149
JUNB,0.0022387208883688156,0.0023439021340562896,24187083.41671732,150
MYL9,0.002233893710417011,0.0010802502110978155,35414869.409899905,151
JUP,0.0022292926449217734,0.000934419730084864,20289421.63224968,152
CRABP2,0.002222587192648866,0.0010161135474627172,167667863.68705982,153
