gene,importance,rank
JUN,0.0008425261002143959,306
TFRC,0.0008419640659412579,307
TMEM59,0.0008397972332515742,308
PSMD3,0.0008389342776726667,309
C7,0.0008338990261170775,310
SQSTM1,0.0008325932860118783,311
CD47,0.0008264603454476915,312
JUNB,0.0008167193440685769,313
RPS10,0.0008159134624564835,314
GSN,0.0008021088853276415,315
EIF3E,0.000801647831653958,316
FOLR1,0.0007940684777606275,317
EIF3H,0.0007765074631161568,318
NPM1,0.0007756224543921078,319
NDUFS5,0.000757149535280209,320
NEAT1,0.0007567608039853394,321
PGK1,0.0007509357387436435,322
LTBP4,0.0007505917414725352,323
RPL5,0.0007464114832535858,324
COX6B1,0.0007443390376528841,325
CD9,0.0007439701977941905,326
COL5A2,0.0007357795058158467,327
TUBA1A,0.0007263136522082048,328
ITGA3,0.0007165045760562198,329
CYC1,0.000691278257332876,330
HLA-DRB1,0.0006802240380246471,331
PPP1R1B,0.0006777958247458916,332
SLPI,0.000676346696491144,333
IFITM2,0.0006754896576739616,334
SPP1,0.0006714499465225204,335
RPS25,0.0006684708689559316,336
RPL27A,0.0006670499461013283,337
RPS2,0.0006594399277326126,338
DMKN,0.0006560093618002637,339
NOTCH3,0.0006476008442543835,340
UBA52,0.0006381919388073194,341
IFI27,0.0006261355695317995,342
USF2,0.0006071703995255673,343
SEPP1,0.000591786941945372,344
RPL13A,0.0005895312714291286,345
KRT18,0.0005790127022225444,346
CFB,0.0005769519284571016,347
DSG2,0.0005761948894479025,348
PFN1,0.0005703570089955037,349
YWHAQ,0.0005689126644747342,350
CYP4B1,0.0005654236105336281,351
TRAM1,0.0005542890891210361,352
RPSA,0.0005537028714080381,353
CLU,0.0005512432709561676,354
RPSAP58,0.0005432720739266047,355
LAPTM4A,0.0005354841700273483,356
RPL35A,0.0005283500920844394,357
RPLP1,0.0005229112750374215,358
ARL6IP1,0.0005226487137547518,359
SYNGR2,0.0005183650407133666,360
CYR61,0.0005182006868498242,361
